"Lat","Lon","Index","Region"
53.959367595169,11.2521091418225,1,"SW Baltic"
53.959367595169,11.2521091418225,2,"SW Baltic"
53.9611207534314,11.3526500518812,3,"SW Baltic"
53.9627701200036,11.4532011108473,4,"SW Baltic"
53.9639390206713,14.4713792035688,5,"S Baltic"
53.9927481999069,14.5229963073358,6,"S Baltic"
54.0471979886215,11.1970961161412,7,"SW Baltic"
54.0523178099674,11.4995291112111,8,"SW Baltic"
54.0485657890055,14.7273042946385,9,"S Baltic"
54.0753619750881,14.8801512287223,10,"S Baltic"
54.0886261063122,13.9718774311249,11,"SW Baltic"
54.1187250063075,13.9222117918287,12,"SW Baltic"
54.13045477499,15.0855501632004,13,"S Baltic"
54.1515754234933,13.4678650390381,14,"SW Baltic"
54.15103936993,13.5690189983197,15,"SW Baltic"
54.1488037441619,13.872457072479,16,"SW Baltic"
54.1567011328673,15.2390522979893,17,"S Baltic"
54.1736409041424,11.6966097841208,18,"SW Baltic"
54.1749363324209,11.7978130117845,19,"SW Baltic"
54.1761271321171,11.8990237425518,20,"SW Baltic"
54.1788622360841,13.8226131084416,21,"SW Baltic"
54.182710152031,15.392793699198,22,"S Baltic"
54.2073413974236,12.0500132843488,23,"SW Baltic"
54.2112587141891,13.3673567558831,24,"SW Baltic"
54.2084811625302,15.546772707636,25,"S Baltic"
54.2340134986764,15.7009876452521,26,"S Baltic"
54.2410691161653,13.3169682771531,27,"SW Baltic"
54.2593064991061,15.8554368151757,28,"S Baltic"
54.2843595068428,16.0101185017615,29,"S Baltic"
54.2811938243308,16.1115294737495,30,"S Baltic"
54.2983794836464,12.301460436255,31,"SW Baltic"
54.2981954837188,13.7239382417329,32,"SW Baltic"
54.3080806118421,19.2756568156902,33,"S Baltic"
54.3349667915934,10.7744351949908,34,"SW Baltic"
54.3283744063786,12.3516839849923,35,"SW Baltic"
54.3288480591935,13.5720488523403,36,"SW Baltic"
54.3274534376217,13.77542243965,37,"SW Baltic"
54.3342956398314,19.3317675036609,38,"S Baltic"
54.3414027655992,11.0794087778998,39,"SW Baltic"
54.3473925714871,19.3598558732047,40,"S Baltic"
54.3601004493161,19.6184062199363,41,"S Baltic"
54.3657385283659,10.8233241549531,42,"SW Baltic"
54.3720234208706,11.1285875730912,43,"SW Baltic"
54.3650534677704,16.2723028825509,44,"S Baltic"
54.37347296653,19.1855665679511,45,"S Baltic"
54.3735652128742,19.4160987254612,46,"S Baltic"
54.3801418394209,19.314884380245,47,"S Baltic"
54.3894097185048,10.5668709793609,48,"SW Baltic"
54.3896866153902,13.1655574194693,49,"SW Baltic"
54.3929700292763,19.573671836361,50,"S Baltic"
54.3861267204963,19.6748726472806,51,"S Baltic"
54.396491224634,10.8723033050279,52,"SW Baltic"
54.3986410851489,10.9741418301268,53,"SW Baltic"
54.4006855836086,11.0759931623949,54,"SW Baltic"
54.4026246970081,11.177856660429,55,"SW Baltic"
54.4044584035231,11.2797316823648,56,"SW Baltic"
54.3982058240363,18.7803067470468,57,"S Baltic"
54.4063450034592,19.3711471788486,58,"S Baltic"
54.4177728544257,10.5137689033462,59,"SW Baltic"
54.417508879327,13.6245565672148,60,"SW Baltic"
54.4190267700186,19.630159022521,61,"S Baltic"
54.4349893865755,11.3291873369412,62,"SW Baltic"
54.4406425126447,10.2567019989188,63,"SW Baltic"
54.4365742604008,18.6331852737784,64,"S Baltic"
54.4476312436518,12.451426526423,65,"SW Baltic"
54.449150763189,12.9617262204195,66,"SW Baltic"
54.4491375496213,13.0637894786462,67,"SW Baltic"
54.4519125353215,19.5853570765569,68,"S Baltic"
54.4450548549556,19.6867345298212,69,"S Baltic"
54.4599879824892,11.0725653810473,70,"SW Baltic"
54.4688458901234,10.203254803457,71,"SW Baltic"
54.4690045646969,18.5873820155627,72,"S Baltic"
54.478037271253,12.6041584269389,73,"SW Baltic"
54.4787647752772,13.114923355014,74,"SW Baltic"
54.4768468507971,13.6256700185422,75,"SW Baltic"
54.4800743300443,16.3859571373143,76,"S Baltic"
54.4779711354586,19.6419534525608,77,"S Baltic"
54.4970246884776,10.1497170290952,78,"SW Baltic"
54.5074964191412,12.5526853060796,79,"SW Baltic"
54.50837034328,13.1661482971652,80,"SW Baltic"
54.5061855839775,13.6773443274961,81,"SW Baltic"
54.5079333778075,16.440009071722,82,"S Baltic"
54.5280805905625,18.5973428707019,83,"S Baltic"
54.5381264881553,13.115128620649,84,"SW Baltic"
54.535502014585,13.7291098276681,85,"SW Baltic"
54.5533081880065,10.0423691969309,86,"SW Baltic"
54.5479638224198,11.0162464512381,87,"SW Baltic"
54.549966182479,11.1185581422274,88,"SW Baltic"
54.5621690834706,11.9374291106198,89,"SW Baltic"
54.5635754112572,16.5483847795701,90,"S Baltic"
54.567861166,13.0640175527542,91,"SW Baltic"
